n_high,variable,column,coef,t
12,Two-year Treasury yield,y2,0.014275725350160882,1.4759432164263033
12,Ten-year Treasury yield,y10,0.01748521544187283,2.2496133870809696
12,Break-even inflation (10-year),breakeven10,0.01579623503176111,3.6485333646854836
12,S&P 500,spx,-0.6028902357739209,-2.3644340632645684
12,BBB yield spread,bbb,0.008273020989241701,2.778470611873335
12,High-yield yield spread,hy,0.054067456432789526,4.679538495817683
12,Gold price,gold,-30.814757044401567,-1.5600275822256173
12,Dollar (broad index),dollar,0.27658884486994556,3.375040005191178
12,VIX,vix,1.7577629625382587,3.236731820632529
12,Euro Stoxx 50,stoxx,-1.534811720757192,-5.799870826068754
12,Nikkei 225,nikkei,-1.6003534220906832,-3.1119911752201914
12,Tel Aviv 125,ta125,-0.41891208517887685,-0.5531258803981506
12,MSCI EM equities,em,-1.4178329015759057,-2.6110355167651433
12,Swiss franc per dollar,chf,0.2469322041106083,2.2005704988075356
12,US energy equities (XLE),energy,0.7995457742818612,2.4902601753103273
12,US airlines (JETS),airlines,-1.4043275131226085,-2.7489497684862076
12,Aerospace & defence (ITA),defence,-0.4515182558218695,-0.7148767648132346
15,Two-year Treasury yield,y2,0.01897545106347953,1.7459532593962426
15,Ten-year Treasury yield,y10,0.022627403059916184,2.4666395809914867
15,Break-even inflation (10-year),breakeven10,0.0158611971990996,4.14800393795952
15,S&P 500,spx,-0.6135112225078503,-2.838466058222814
15,BBB yield spread,bbb,0.007387759565144859,2.458645987406131
15,High-yield yield spread,hy,0.04730845052428322,3.5231900530177573
15,Gold price,gold,-35.59715782415737,-1.9291328427881969
15,Dollar (broad index),dollar,0.25547519089154924,3.2876975408143476
15,VIX,vix,1.7182972796038187,3.5927587825314
15,Euro Stoxx 50,stoxx,-1.331527111672652,-4.239879974183562
15,Nikkei 225,nikkei,-1.597012163123164,-3.4957862741298364
15,Tel Aviv 125,ta125,-0.3676750066956019,-0.62687663845158
15,MSCI EM equities,em,-1.627877059148032,-3.590291460189153
15,Swiss franc per dollar,chf,0.2471914725197906,2.501671487695462
15,US energy equities (XLE),energy,0.9502457415284259,3.335278453926846
15,US airlines (JETS),airlines,-1.4298773385262193,-3.1677977504614105
15,Aerospace & defence (ITA),defence,-0.6263706407040497,-1.1882437924512168
18,Two-year Treasury yield,y2,0.018079962347265607,1.6833306006157815
18,Ten-year Treasury yield,y10,0.019373034359445356,2.2773757691251775
18,Break-even inflation (10-year),breakeven10,0.014181344242398008,3.445529520030059
18,S&P 500,spx,-0.650336636983384,-2.9639906965679352
18,BBB yield spread,bbb,0.00830831629909094,2.908864830753243
18,High-yield yield spread,hy,0.047944731321392625,3.610470004834364
18,Gold price,gold,-36.63328780397853,-1.897202106413458
18,Dollar (broad index),dollar,0.25716338149532236,3.2419334208282535
18,VIX,vix,1.747565947071119,3.715849386976251
18,Euro Stoxx 50,stoxx,-1.369738461970431,-4.469592889840174
18,Nikkei 225,nikkei,-1.6490747207722127,-3.2845038097511945
18,Tel Aviv 125,ta125,0.06942654054631034,0.09804853378497436
18,MSCI EM equities,em,-1.6509662999674701,-3.4534110778722034
18,Swiss franc per dollar,chf,0.23708656374149537,2.361606220910872
18,US energy equities (XLE),energy,0.9581715282023022,3.1744835925670554
18,US airlines (JETS),airlines,-1.3593079410788445,-2.8306353824029387
18,Aerospace & defence (ITA),defence,-0.5540834801112073,-1.0070904527823825
24,Two-year Treasury yield,y2,0.01812546492237824,1.8243524912643831
24,Ten-year Treasury yield,y10,0.02003860830807371,2.260883985449679
24,Break-even inflation (10-year),breakeven10,0.012811623245341243,3.6156138096879133
24,S&P 500,spx,-0.6125557473249759,-3.150175093845413
24,BBB yield spread,bbb,0.005716534322730907,1.8653594605403294
24,High-yield yield spread,hy,0.04992070116824212,4.536780558725025
24,Gold price,gold,-55.090803466460265,-2.6232812378695307
24,Dollar (broad index),dollar,0.3127061888360363,5.4691838145862475
24,VIX,vix,1.535636795160384,3.356160569747611
24,Euro Stoxx 50,stoxx,-1.3858399943292659,-4.694770147205386
24,Nikkei 225,nikkei,-1.5862121517518915,-3.340311269907607
24,Tel Aviv 125,ta125,0.19012039688242033,0.30840500370590745
24,MSCI EM equities,em,-1.5816977340672678,-3.8268609949416104
24,Swiss franc per dollar,chf,0.12190134856350081,1.0441361199847727
24,US energy equities (XLE),energy,0.7256303623488926,2.6125588400733797
24,US airlines (JETS),airlines,-1.3506091182261941,-3.459026460922911
24,Aerospace & defence (ITA),defence,-0.8474598070839496,-2.3003651644989365
30,Two-year Treasury yield,y2,-0.000709269118499367,-0.05807337428564482
30,Ten-year Treasury yield,y10,0.015269666438227868,1.718869857015841
30,Break-even inflation (10-year),breakeven10,0.010508829331495606,2.1161735769509966
30,S&P 500,spx,-0.6583332832345734,-3.0280844813739
30,BBB yield spread,bbb,0.007119471014256433,2.0411159497055746
30,High-yield yield spread,hy,0.0647496333683874,3.7277458220861983
30,Gold price,gold,-49.43882584504122,-2.0697593757829047
30,Dollar (broad index),dollar,0.3474860790847091,5.767022204550707
30,VIX,vix,1.7966059607807128,3.5757433104787157
30,Euro Stoxx 50,stoxx,-1.4101596766896614,-4.382948091756756
30,Nikkei 225,nikkei,-1.9051010360388627,-3.2258295379348447
30,Tel Aviv 125,ta125,-0.23281190024543896,-0.36472003864785413
30,MSCI EM equities,em,-1.7847706103329852,-4.074934672311502
30,Swiss franc per dollar,chf,0.14850578903278494,1.1588223496497
30,US energy equities (XLE),energy,0.7931737293332153,2.5075519830166892
30,US airlines (JETS),airlines,-1.2441746319331655,-2.7502553202736473
30,Aerospace & defence (ITA),defence,-1.1645163942758936,-3.0776098823246887
