variable,column,units,group,w1_coef,w1_t,w1_se,w2_coef,w2_t,w2_se,w3_coef,w3_t,w3_se,n,first_stage_F_w1
Ten-year Treasury yield,y10,pp,US (paper),-0.28124999999999367,0.23963147911034025,1.1736771856692911,0.6944444444444433,-0.07996177911184275,8.684704769676548,0.6712987923225502,-0.07915154949838502,8.481183205848007,36,0.02490660024906935
Break-even inflation (10-year),breakeven10,pp,US (paper),-0.39583333333331705,0.11609642223412536,3.409522237774575,0.019736842105259108,-0.06071375696022388,0.32508023046884643,0.04684699947292559,-0.14053924261213893,0.33333749778497257,36,0.02490660024906935
S&P 500,spx,pct,US (paper),18.676267474535013,-0.1114764121051571,167.53559898319526,10.1020460772578,-0.6025000713685129,16.766879469926216,9.792190216256682,-0.5766811398734778,16.98025050447299,36,0.02490660024906935
BBB yield spread,bbb,pp,US (paper),-0.22916666666665725,0.09593516348672657,2.3887661034565744,-0.20454545454546139,0.3889673878880366,0.5258678771402279,-0.2079615373399866,0.48798641492007055,0.4261625549023727,36,0.02490660024906935
High-yield yield spread,hy,pp,US (paper),-0.3854166666666461,0.09057848961449917,4.255057335433326,-4.500000000000152,0.24203505284639407,18.592348286246153,-2.9017111323179643,0.23072047972788937,12.576738466131088,36,0.02490660024906935
Oil price (Brent front-month),brent,$,US (paper),-160.19780635833345,0.10665692710655499,1501.9915790212929,-71.56322416679616,1.4088182611924855,50.796632992407346,-67.26397621363051,1.8012427602684968,37.34309316729968,36,0.02490660024906935
Gold price,gold,$,US (paper),1968.435668945243,-0.1101740004070965,17866.60792629667,62.02292329182596,-0.04670089164419536,1328.0886318909297,-66.45645009999764,0.04724656592606872,1406.5879455448357,36,0.02490660024906935
Dollar (broad index),dollar,pct,US (paper),-11.870921629133202,0.10416499278479903,113.96267893627258,-3.5120562668548057,1.0733332143366328,3.2721024747430474,-3.3076448469008204,0.9924125034504832,3.3329334680897205,36,0.02490660024906935
VIX,vix,vol,US (added),-79.41665152708515,0.10405341758967185,763.2296311521429,-28.11133177804164,1.2791422837046524,21.976704340212716,-27.002788466234716,1.2801622040895708,21.093255510881633,36,0.02490660024906935
Euro Stoxx 50,stoxx,pct,Global,18.64415386817758,-0.4148471179203897,44.942228263847895,17.28121669903484,-1.4305460329612933,12.080154221435265,17.313974722198946,-1.4272827587034174,12.130725055438512,34,0.33844201296079285
Nikkei 225,nikkei,pct,Global,16.828994643669205,-0.2521256672644418,66.74843869036994,46.82095925960555,-0.6442644612588613,72.67350921098408,37.061772354866285,-0.6997335315510027,52.965551433152804,33,0.17435675944089646
Tel Aviv 125,ta125,pct,Global,-21.84722285154964,0.276844689745458,78.9150872701833,-15.998339370026315,1.6206868804097352,9.87133268209198,-16.300929369461933,2.0160164258453257,8.085712576784623,27,0.19278561544947234
MSCI EM equities,em,pct,Global,78.51997318627991,-0.10613564024158878,739.8077875400822,6.874739658130672,-0.350658667224047,19.605218124376723,3.8202882545578745,-0.1816131232424365,21.035309488390592,36,0.02490660024906935
Swiss franc per dollar,chf,pct,Global,-17.111497383364174,0.09942190538620242,172.10993208081157,-2.3296493849107685,0.6716040477796936,3.468784014349722,-2.6235796550665733,0.8090472739905481,3.2428014275680312,36,0.02490660024906935
US energy equities (XLE),energy,pct,Sector,-65.36064828118604,0.10475307827265853,623.9496667683678,-11.936228526915098,1.5304664195290791,7.799079009252517,-9.736815719939932,1.227986032132972,7.929093218615359,36,0.02490660024906935
US airlines (JETS),airlines,pct,Sector,22.298837873671513,-0.11896471078390615,187.44077740983468,62.03262373820282,-0.43224183655965004,143.51369648051693,61.32117593702467,-0.42016240683057,145.9463648820737,36,0.02490660024906935
Aerospace & defence (ITA),defence,pct,Sector,-35.49802407463406,0.09036832535571594,392.814893215112,-15.302971383585326,0.3412736222362265,44.84076818862007,-17.798408400661245,0.6293610460932793,28.28012396245969,36,0.02490660024906935
