indicator,tone_method,n,tone_coef,tone_se,tone_t,tone_p,bill_coef,bill_p,r2,stars
DXY,Word list,311,0.0038490013217135394,0.008309329304420169,0.46321444014332824,0.6432106667204016,3.9675326940329954,1.4770436159812929e-06,0.07953173869600538,
DXY,FinBERT,311,0.39802004308942307,0.22801362727551774,1.7455976111834752,0.08088089764631139,3.782138692980307,3.588510762645158e-06,0.08796579885672173,*
10s2s spread,Word list,311,-0.0013140689746154505,0.0009487376635728218,-1.3850709475017982,0.16603077441741998,-0.43565499317533507,2.6619810285068527e-09,0.10874314214006109,
10s2s spread,FinBERT,311,0.008848231942228748,0.022120512297142687,0.40000122164312063,0.6891556169902047,-0.42858183136704825,2.4657110317155527e-09,0.10186222978201676,
1-year yield,Word list,311,0.0003215506258747887,0.0008733994450280254,0.3681598696968154,0.7127540313813099,0.9240502981646015,2.189935785586151e-19,0.3056793693432498,
1-year yield,FinBERT,311,0.020184517223723213,0.02389258806832088,0.8448024620022563,0.3982211397751312,0.9136378935221167,1.5941040140189523e-19,0.30703185866687766,
Growth minus value,Word list,311,0.00047023771729095545,0.0001971309029372117,2.3854084280267878,0.017060169062418598,0.007104512737506445,0.6840651680641611,0.012582327496756585,**
Growth minus value,FinBERT,311,-0.006115041347459908,0.00638086557459747,-0.9583404125929528,0.3378911318254062,0.005718804690123976,0.7448040277938517,0.0031827981488184998,
